start-date,end-date,sport,event,venue,
2019-07-15,2019-07-21,TENNIS,Bucharest Open,Bucharest,
2019-07-15,2019-07-21,TENNIS,Gstaad Championship,,
2019-07-18,2019-07-21,GOLF,The Open championship,Portrush,
2019-07-18,2019-07-21,CRICKET,England women Test v Australia,Taunton,
2019-07-18,2019-09-21,CRICKET,Vitality Blast,,
2019-07-19,2019-07-19,MOTOR CYCLING,World Superbikes,tbc,
2019-07-20,2019-07-21,ATHLETICS,Anniversary Games/Diamond League,London,
2019-07-20,2019-07-21,TRIATHLON,World Series,Edmonton,
2019-07-24,2019-07-27,CRICKET,Test: England v Ireland,Lord’s,
2019-07-26,2019-07-31,CRICKET,England women T20 series v Australia,,
2019-07-27,2019-07-28,RUGBY LEAGUE,Challenge Cup semi-finals,,
2019-07-28,2019-07-28,MOTOR RACING,German Grand Prix,Hockenheim,
2019-07-30,2019-08-03,RACING,Glorious Goodwood,,
2019-08-01,2019-08-04,GOLF,Women’s British Open,Milton Keynes,
2019-08-01,2019-08-04,MOTOR RACING,Finnish Rally,,
2019-08-01,2019-08-05,CRICKET,First Test: England v Australia,Edgbaston,
2019-08-04,2019-08-04,CYCLING,London-Surrey Classic,,
2019-08-04,2019-08-04,MOTOR RACING,Hungarian Grand Prix,Budapest,
2019-08-04,2019-08-04,MOTOR CYCLING,MotoGP,Brno,
2019-08-05,2019-08-11,TENNIS,Rogers Cup,Toronto,
2019-08-10,2019-08-10,RUGBY UNION,Test: Ireland v Italy,,
2019-08-11,2019-08-11,MOTOR CYCLING,MotoGP,Spielberg,
2019-08-11,2019-08-11,RUGBY UNION,Test: England v Wales,,
2019-08-14,2019-08-14,FOOTBALL,Uefa Super Cup,Istanbul,
2019-08-14,2019-08-18,CRICKET,Second Test: England v Australia,Lord’s,
2019-08-17,2019-08-17,RUGBY UNION,Tests: France v Scotland and Wales v England,tbc,
2019-08-18,2019-08-18,ATHLETICS,Diamond League,Birmingham,
2019-08-18,2019-08-24,TENNIS,Connecticut Open,New Haven,
2019-08-22,2019-08-25,MOTOR RACING,German Rally,,
2019-08-22,2019-08-26,CRICKET,Third Test: England v Australia,Headingley,
2019-08-24,2019-08-24,ATHLETICS,Diamond League,Paris,
